title,genres,director_name,actor1_name,actor2_name,actor3_name,comb
layer cake,Crime Drama Thriller,Matthew Vaughn,Tom Hardy,Sally Hawkins,Jamie Foreman,Matthew Vaughn Tom Hardy Sally Hawkins Jamie Foreman Crime Drama Thriller
the work and the glory ii: american zion,Drama Western,Sterling Van Wagenen,Emily Podleski,Eric Johnson,Brenda Strong,Sterling Van Wagenen Emily Podleski Eric Johnson Brenda Strong Drama Western
the east,Drama Thriller,Zal Batmanglij,Alexander Skarsgård,Julia Ormond,Jason Ritter,Zal Batmanglij Alexander Skarsgård Julia Ormond Jason Ritter Drama Thriller
a home at the end of the world,Drama Romance,Michael Mayer,Robin Wright,Matt Frewer,Sissy Spacek,Michael Mayer Robin Wright Matt Frewer Sissy Spacek Drama Romance
aberdeen,Drama,Hans Petter Moland,Charlotte Rampling,Sara-Marie Maltha,Stellan Skarsgård,Hans Petter Moland Charlotte Rampling Sara-Marie Maltha Stellan Skarsgård Drama
the messenger,Drama Romance War,Oren Moverman,Steve Buscemi,Yaya DaCosta,Eamonn Walker,Oren Moverman Steve Buscemi Yaya DaCosta Eamonn Walker Drama Romance War
tracker,Action Adventure Drama Western,Ian Sharp,Ray Winstone,Jed Brophy,Temuera Morrison,Ian Sharp Ray Winstone Jed Brophy Temuera Morrison Action Adventure Drama Western
control,Biography Drama Music,Anton Corbijn,Sam Riley,Samantha Morton,Alexandra Maria Lara,Anton Corbijn Sam Riley Samantha Morton Alexandra Maria Lara Biography Drama Music
the terminator,Action Sci-Fi,James Cameron,Michael Biehn,Brian Thompson,Paul Winfield,James Cameron Michael Biehn Brian Thompson Paul Winfield Action Sci-Fi
good bye lenin!,Drama Romance,Wolfgang Becker,Florian Lukas,Chulpan Khamatova,Burghart Klaußner,Wolfgang Becker Florian Lukas Chulpan Khamatova Burghart Klaußner Drama Romance
the damned united,Biography Drama Sport,Tom Hooper,Stephen Graham,Mark Bazeley,Maurice Roëves,Tom Hooper Stephen Graham Mark Bazeley Maurice Roëves Biography Drama Sport
the return of the living dead,Comedy Horror Sci-Fi,Dan O'Bannon,Linnea Quigley,Clu Gulager,Beverly Randolph,Dan O'Bannon Linnea Quigley Clu Gulager Beverly Randolph Comedy Horror Sci-Fi
gomorrah            ,Crime Drama Thriller,Unknown,Maria Pia Calzone,Fortunato Cerlino,Marco D'Amore,Unknown Maria Pia Calzone Fortunato Cerlino Marco D'Amore Crime Drama Thriller
mallrats,Comedy Romance,Kevin Smith,Ethan Suplee,Jason Mewes,Joey Lauren Adams,Kevin Smith Ethan Suplee Jason Mewes Joey Lauren Adams Comedy Romance
grease,Musical Romance,Randal Kleiser,Olivia Newton-John,Stockard Channing,Sid Caesar,Randal Kleiser Olivia Newton-John Stockard Channing Sid Caesar Musical Romance
platoon,Drama War,Oliver Stone,Johnny Depp,Tom Berenger,Kevin Dillon,Oliver Stone Johnny Depp Tom Berenger Kevin Dillon Drama War
fahrenheit 9/11,Documentary Drama War,Michael Moore,Osama bin Laden,Stevie Wonder,Ricky Martin,Michael Moore Osama bin Laden Stevie Wonder Ricky Martin Documentary Drama War
butch cassidy and the sundance kid,Biography Crime Drama Western,George Roy Hill,Katharine Ross,Ted Cassidy,Kenneth Mars,George Roy Hill Katharine Ross Ted Cassidy Kenneth Mars Biography Crime Drama Western
mary poppins,Comedy Family Fantasy Musical,Robert Stevenson,Ed Wynn,Glynis Johns,Elsa Lanchester,Robert Stevenson Ed Wynn Glynis Johns Elsa Lanchester Comedy Family Fantasy Musical
ordinary people,Drama,Robert Redford,Adam Baldwin,Elizabeth McGovern,Judd Hirsch,Robert Redford Adam Baldwin Elizabeth McGovern Judd Hirsch Drama
around the world in 80 days,Action Adventure Comedy,Frank Coraci,Jim Broadbent,Steve Coogan,Cécile De France,Frank Coraci Jim Broadbent Steve Coogan Cécile De France Action Adventure Comedy
