title,genres,director_name,actor1_name,actor2_name,actor3_name,comb
little black book,Comedy Drama Romance,Nick Hurran,Holly Hunter,Kevin Sussman,Dave Annable,Nick Hurran Holly Hunter Kevin Sussman Dave Annable Comedy Drama Romance
the five-year engagement,Comedy Romance,Nicholas Stoller,Alison Brie,Jacki Weaver,David Paymer,Nicholas Stoller Alison Brie Jacki Weaver David Paymer Comedy Romance
mr 3000,Comedy Drama Romance Sport,Charles Stone III,Bernie Mac,Chris Noth,Paul Sorvino,Charles Stone III Bernie Mac Chris Noth Paul Sorvino Comedy Drama Romance Sport
the next three days,Crime Drama Romance Thriller,Paul Haggis,Olivia Wilde,Daniel Stern,Aisha Hinds,Paul Haggis Olivia Wilde Daniel Stern Aisha Hinds Crime Drama Romance Thriller
ultraviolet,Action Horror Sci-Fi Thriller,Kurt Wimmer,Milla Jovovich,Cameron Bright,Nick Chinlund,Kurt Wimmer Milla Jovovich Cameron Bright Nick Chinlund Action Horror Sci-Fi Thriller
assault on precinct 13,Action Crime Drama Thriller,Jean-François Richet,Brian Dennehy,Drea de Matteo,Hugh Dillon,Jean-François Richet Brian Dennehy Drea de Matteo Hugh Dillon Action Crime Drama Thriller
the replacement killers,Action Crime Thriller,Antoine Fuqua,Mira Sorvino,Clifton Collins Jr.,Patrick Kilpatrick,Antoine Fuqua Mira Sorvino Clifton Collins Jr. Patrick Kilpatrick Action Crime Thriller
fled,Action Adventure Crime Drama Romance,Kevin Hooks,Salma Hayek,Stephen Baldwin,Will Patton,Kevin Hooks Salma Hayek Stephen Baldwin Will Patton Action Adventure Crime Drama Romance
eight legged freaks,Action Comedy Horror,Ellory Elkayem,Scarlett Johansson,Doug E. Doug,Riley Smith,Ellory Elkayem Scarlett Johansson Doug E. Doug Riley Smith Action Comedy Horror
love & other drugs,Comedy Drama Romance,Edward Zwick,Jake Gyllenhaal,Anne Hathaway,Judy Greer,Edward Zwick Jake Gyllenhaal Anne Hathaway Judy Greer Comedy Drama Romance
88 minutes,Crime Drama Mystery Thriller,Jon Avnet,Al Pacino,Alicia Witt,Deborah Kara Unger,Jon Avnet Al Pacino Alicia Witt Deborah Kara Unger Crime Drama Mystery Thriller
north country,Drama,Niki Caro,Jeremy Renner,Charlize Theron,Sissy Spacek,Niki Caro Jeremy Renner Charlize Theron Sissy Spacek Drama
the whole ten yards,Comedy Crime Thriller,Howard Deutch,Bruce Willis,Matthew Perry,Natasha Henstridge,Howard Deutch Bruce Willis Matthew Perry Natasha Henstridge Comedy Crime Thriller
splice,Drama Horror Sci-Fi,Vincenzo Natali,Sarah Polley,David Hewlett,Delphine Chanéac,Vincenzo Natali Sarah Polley David Hewlett Delphine Chanéac Drama Horror Sci-Fi
howard the duck,Action Adventure Comedy Romance Sci-Fi,Willard Huyck,Lea Thompson,Jeffrey Jones,Jordan Prentice,Willard Huyck Lea Thompson Jeffrey Jones Jordan Prentice Action Adventure Comedy Romance Sci-Fi
pride and glory,Crime Drama Thriller,Gavin O'Connor,Jennifer Ehle,Rick Gonzalez,Frank Grillo,Gavin O'Connor Jennifer Ehle Rick Gonzalez Frank Grillo Crime Drama Thriller
the cave,Adventure Horror Thriller,Bruce Hunt,Eddie Cibrian,Cole Hauser,Marcel Iures,Bruce Hunt Eddie Cibrian Cole Hauser Marcel Iures Adventure Horror Thriller
alex & emma,Comedy Romance,Rob Reiner,David Paymer,Lobo Sebastian,Robert Costanzo,Rob Reiner David Paymer Lobo Sebastian Robert Costanzo Comedy Romance
wicker park,Drama Mystery Romance Thriller,Paul McGuigan,Jessica Paré,Christopher Cousins,Mark Camacho,Paul McGuigan Jessica Paré Christopher Cousins Mark Camacho Drama Mystery Romance Thriller
fright night,Comedy Horror,Craig Gillespie,Grace Phipps,Reid Ewing,Sandra Vergara,Craig Gillespie Grace Phipps Reid Ewing Sandra Vergara Comedy Horror
the new world,Biography Drama History Romance,Terrence Malick,Christian Bale,Michael Greyeyes,Wes Studi,Terrence Malick Christian Bale Michael Greyeyes Wes Studi Biography Drama History Romance
wing commander,Action Adventure Sci-Fi,Chris Roberts,Saffron Burrows,David Suchet,Jürgen Prochnow,Chris Roberts Saffron Burrows David Suchet Jürgen Prochnow Action Adventure Sci-Fi
in dreams,Drama Fantasy Thriller,Neil Jordan,Robert Downey Jr.,Aidan Quinn,Paul Guilfoyle,Neil Jordan Robert Downey Jr. Aidan Quinn Paul Guilfoyle Drama Fantasy Thriller
dragonball: evolution,Action Adventure Fantasy Sci-Fi Thriller,James Wong,Ian Whyte,Texas Battle,Randall Duk Kim,James Wong Ian Whyte Texas Battle Randall Duk Kim Action Adventure Fantasy Sci-Fi Thriller
the last stand,Action Crime Thriller,Jee-woon Kim,Zach Gilford,James Burnett,Christiana Leucas,Jee-woon Kim Zach Gilford James Burnett Christiana Leucas Action Crime Thriller
godsend,Drama Horror Sci-Fi Thriller,Nick Hamm,Robert De Niro,Cameron Bright,Munro Chambers,Nick Hamm Robert De Niro Cameron Bright Munro Chambers Drama Horror Sci-Fi Thriller
chasing liberty,Comedy Romance,Andy Cadiff,Annabella Sciorra,Stark Sands,Terence Maynard,Andy Cadiff Annabella Sciorra Stark Sands Terence Maynard Comedy Romance
hoodwinked too! hood vs. evil,Animation Comedy Family,Mike Disa,Amy Poehler,Phil LaMarr,Cheech Marin,Mike Disa Amy Poehler Phil LaMarr Cheech Marin Animation Comedy Family
an unfinished life,Drama,Lasse Hallström,Morgan Freeman,Camryn Manheim,Lynda Boyd,Lasse Hallström Morgan Freeman Camryn Manheim Lynda Boyd Drama
the imaginarium of doctor parnassus,Adventure Fantasy Mystery,Terry Gilliam,Andrew Garfield,Lily Cole,Verne Troyer,Terry Gilliam Andrew Garfield Lily Cole Verne Troyer Adventure Fantasy Mystery
barney's version,Comedy Drama,Richard J. Lewis,Mark Addy,Atom Egoyan,Paul Gross,Richard J. Lewis Mark Addy Atom Egoyan Paul Gross Comedy Drama
trapped            ,Crime Drama Thriller,Unknown,Ólafur Darri Ólafsson,Ingvar Eggert Sigurðsson,Björn Hlynur Haraldsson,Unknown Ólafur Darri Ólafsson Ingvar Eggert Sigurðsson Björn Hlynur Haraldsson Crime Drama Thriller
runner runner,Crime Thriller,Brad Furman,Justin Timberlake,John Heard,David Costabile,Brad Furman Justin Timberlake John Heard David Costabile Crime Thriller
antitrust,Action Crime Drama Thriller,Peter Howitt,Tyler Labine,Richard Roundtree,Ned Bellamy,Peter Howitt Tyler Labine Richard Roundtree Ned Bellamy Action Crime Drama Thriller
glory,Drama History War,Edward Zwick,Denzel Washington,Morgan Freeman,Matthew Broderick,Edward Zwick Denzel Washington Morgan Freeman Matthew Broderick Drama History War
once upon a time in america,Crime Drama,Sergio Leone,Robert De Niro,Burt Young,Treat Williams,Sergio Leone Robert De Niro Burt Young Treat Williams Crime Drama
dead man down,Action Crime Drama Thriller,Niels Arden Oplev,Dominic Cooper,Isabelle Huppert,James Biberi,Niels Arden Oplev Dominic Cooper Isabelle Huppert James Biberi Action Crime Drama Thriller
the merchant of venice,Drama Romance,Michael Radford,Al Pacino,Mackenzie Crook,Kris Marshall,Michael Radford Al Pacino Mackenzie Crook Kris Marshall Drama Romance
the good thief,Action Crime Drama Romance Thriller,Neil Jordan,Emir Kusturica,Saïd Taghmaoui,Tchéky Karyo,Neil Jordan Emir Kusturica Saïd Taghmaoui Tchéky Karyo Action Crime Drama Romance Thriller
supercross,Action Drama Romance Sport,Steve Boyum,Channing Tatum,Mike Vogel,Steve Howey,Steve Boyum Channing Tatum Mike Vogel Steve Howey Action Drama Romance Sport
miss potter,Biography Drama Romance,Chris Noonan,Emily Watson,Bill Paterson,Lucy Boynton,Chris Noonan Emily Watson Bill Paterson Lucy Boynton Biography Drama Romance
the promise,Action Drama Fantasy,Kaige Chen,Dong-gun Jang,Toby Leonard Moore,Nicholas Tse,Kaige Chen Dong-gun Jang Toby Leonard Moore Nicholas Tse Action Drama Fantasy
doa: dead or alive,Action Adventure,Corey Yuen,Steve Howey,Holly Valance,Sarah Carter,Corey Yuen Steve Howey Holly Valance Sarah Carter Action Adventure
the assassination of jesse james by the coward robert ford,Biography Crime Drama History Western,Andrew Dominik,Brad Pitt,Jeremy Renner,Sam Shepard,Andrew Dominik Brad Pitt Jeremy Renner Sam Shepard Biography Crime Drama History Western
1911,Action Adventure Drama History War,Li Zhang,Bingbing Li,Joan Chen,Jaycee Chan,Li Zhang Bingbing Li Joan Chen Jaycee Chan Action Adventure Drama History War
little nicholas,Comedy Family,Laurent Tirard,Louise Bourgoin,Sandrine Kiberlain,Kad Merad,Laurent Tirard Louise Bourgoin Sandrine Kiberlain Kad Merad Comedy Family
wild card,Action Crime Drama Thriller,Simon West,Jason Statham,Michael Angarano,Jason Alexander,Simon West Jason Statham Michael Angarano Jason Alexander Action Crime Drama Thriller
machine gun preacher,Action Biography Crime Drama,Marc Forster,Gerard Butler,Madeline Carroll,Kathy Baker,Marc Forster Gerard Butler Madeline Carroll Kathy Baker Action Biography Crime Drama
animals united,Animation Comedy Family,Reinhard Klooss,Jim Broadbent,Vanessa Redgrave,James Corden,Reinhard Klooss Jim Broadbent Vanessa Redgrave James Corden Animation Comedy Family
the color of freedom,Biography Drama History,Bille August,Terry Pheto,Patrick Lyster,Tyrone Keogh,Bille August Terry Pheto Patrick Lyster Tyrone Keogh Biography Drama History
united passions,Drama History Sport,Frédéric Auburtin,Fisher Stevens,Thomas Kretschmann,Jemima West,Frédéric Auburtin Fisher Stevens Thomas Kretschmann Jemima West Drama History Sport
grace of monaco,Biography Drama Romance,Olivier Dahan,Paz Vega,Frank Langella,Derek Jacobi,Olivier Dahan Paz Vega Frank Langella Derek Jacobi Biography Drama Romance
a warrior's tail,Adventure Animation Fantasy,Maksim Fadeev,Konstantin Khabenskiy,Fedor Bondarchuk,Sergey Garmash,Maksim Fadeev Konstantin Khabenskiy Fedor Bondarchuk Sergey Garmash Adventure Animation Fantasy
ripley's game,Crime Drama Mystery Thriller,Liliana Cavani,Ray Winstone,Dougray Scott,Chiara Caselli,Liliana Cavani Ray Winstone Dougray Scott Chiara Caselli Crime Drama Mystery Thriller
sausage party,Adventure Animation Comedy Fantasy,Greg Tiernan,James Franco,Salma Hayek,Anders Holm,Greg Tiernan James Franco Salma Hayek Anders Holm Adventure Animation Comedy Fantasy
pitch perfect 2,Comedy Music,Elizabeth Banks,Anna Kendrick,Birgitte Hjort Sørensen,Hana Mae Lee,Elizabeth Banks Anna Kendrick Birgitte Hjort Sørensen Hana Mae Lee Comedy Music
walk the line,Biography Drama Music Romance,James Mangold,Sandra Ellis Lafferty,Dallas Roberts,Tyler Hilton,James Mangold Sandra Ellis Lafferty Dallas Roberts Tyler Hilton Biography Drama Music Romance
12 monkeys            ,Adventure Drama Mystery Sci-Fi Thriller,Unknown,Amanda Schull,Kirk Acevedo,Tom Noonan,Unknown Amanda Schull Kirk Acevedo Tom Noonan Adventure Drama Mystery Sci-Fi Thriller
keeping the faith,Comedy Drama Romance,Edward Norton,Lisa Edelstein,Milos Forman,Anne Bancroft,Edward Norton Lisa Edelstein Milos Forman Anne Bancroft Comedy Drama Romance
the borrowers,Adventure Comedy Family Fantasy,Peter Hewitt,Jim Broadbent,Bradley Pierce,Mark Williams,Peter Hewitt Jim Broadbent Bradley Pierce Mark Williams Adventure Comedy Family Fantasy
frost/nixon,Drama,Ron Howard,Toby Jones,Clint Howard,Oliver Platt,Ron Howard Toby Jones Clint Howard Oliver Platt Drama
confessions of a dangerous mind,Biography Comedy Crime Drama Romance Thriller,George Clooney,Dick Clark,David Julian Hirsh,Jennifer Hall,George Clooney Dick Clark David Julian Hirsh Jennifer Hall Biography Comedy Crime Drama Romance Thriller
serving sara,Comedy Romance,Reginald Hudlin,Matthew Perry,Jerry Stiller,Vincent Pastore,Reginald Hudlin Matthew Perry Jerry Stiller Vincent Pastore Comedy Romance
the boss,Comedy,Ben Falcone,Peter Dinklage,Tyler Labine,Ben Falcone,Ben Falcone Peter Dinklage Tyler Labine Ben Falcone Comedy
cry freedom,Biography Drama History,Richard Attenborough,Denzel Washington,Kevin McNally,Penelope Wilton,Richard Attenborough Denzel Washington Kevin McNally Penelope Wilton Biography Drama History
mumford,Comedy Drama,Lawrence Kasdan,Zooey Deschanel,Alfre Woodard,Mary McDonnell,Lawrence Kasdan Zooey Deschanel Alfre Woodard Mary McDonnell Comedy Drama
seed of chucky,Comedy Fantasy Horror Thriller,Don Mancini,Jason Flemyng,Billy Boyd,Hannah Spearritt,Don Mancini Jason Flemyng Billy Boyd Hannah Spearritt Comedy Fantasy Horror Thriller
the jacket,Drama Mystery Sci-Fi Thriller,John Maybury,Jennifer Jason Leigh,Jason Lewis,Angel Coulby,John Maybury Jennifer Jason Leigh Jason Lewis Angel Coulby Drama Mystery Sci-Fi Thriller
aladdin,Adventure Animation Comedy Family Fantasy Musical Romance,Ron Clements,Robin Williams,Frank Welker,Scott Weinger,Ron Clements Robin Williams Frank Welker Scott Weinger Adventure Animation Comedy Family Fantasy Musical Romance
straight outta compton,Biography Crime Drama History Music,F. Gary Gray,Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor,F. Gary Gray Aldis Hodge Neil Brown Jr. R. Marcos Taylor Biography Crime Drama History Music
indiana jones and the temple of doom,Action Adventure,Steven Spielberg,Harrison Ford,Amrish Puri,Kate Capshaw,Steven Spielberg Harrison Ford Amrish Puri Kate Capshaw Action Adventure
the rugrats movie,Adventure Animation Comedy Drama Family Musical,Igor Kovalyov,Elizabeth Daily,Cree Summer,Christine Cavanaugh,Igor Kovalyov Elizabeth Daily Cree Summer Christine Cavanaugh Adventure Animation Comedy Drama Family Musical
along came a spider,Crime Drama Thriller,Lee Tamahori,Morgan Freeman,Billy Burke,Monica Potter,Lee Tamahori Morgan Freeman Billy Burke Monica Potter Crime Drama Thriller
florence foster jenkins,Biography Comedy Drama Music Romance,Stephen Frears,Meryl Streep,Nina Arianda,John Sessions,Stephen Frears Meryl Streep Nina Arianda John Sessions Biography Comedy Drama Music Romance
once upon a time in mexico,Action Crime Thriller,Robert Rodriguez,Johnny Depp,Salma Hayek,Enrique Iglesias,Robert Rodriguez Johnny Depp Salma Hayek Enrique Iglesias Action Crime Thriller
die hard,Action Thriller,John McTiernan,Alan Rickman,Bruce Willis,Reginald VelJohnson,John McTiernan Alan Rickman Bruce Willis Reginald VelJohnson Action Thriller
role models,Comedy,David Wain,Joe Lo Truglio,Ken Marino,Bobb'e J. Thompson,David Wain Joe Lo Truglio Ken Marino Bobb'e J. Thompson Comedy
the big short,Biography Comedy Drama History,Adam McKay,Ryan Gosling,Christian Bale,Charlie Talbert,Adam McKay Ryan Gosling Christian Bale Charlie Talbert Biography Comedy Drama History
taking woodstock,Comedy Drama Music,Ang Lee,Imelda Staunton,Kevin Chamberlin,Demetri Martin,Ang Lee Imelda Staunton Kevin Chamberlin Demetri Martin Comedy Drama Music
miracle,Biography Drama History Sport,Gavin O'Connor,Eddie Cahill,Noah Emmerich,Kenneth Mitchell,Gavin O'Connor Eddie Cahill Noah Emmerich Kenneth Mitchell Biography Drama History Sport
dawn of the dead,Action Horror Thriller,Zack Snyder,Ty Burrell,Kevin Zegers,Mekhi Phifer,Zack Snyder Ty Burrell Kevin Zegers Mekhi Phifer Action Horror Thriller
the wedding planner,Comedy Romance,Adam Shankman,Matthew McConaughey,Judy Greer,Alex Rocco,Adam Shankman Matthew McConaughey Judy Greer Alex Rocco Comedy Romance
harlock: space pirate,Adventure Animation Sci-Fi,Shinji Aramaki,Shun Oguri,Yû Aoi,Haruma Miura,Shinji Aramaki Shun Oguri Yû Aoi Haruma Miura Adventure Animation Sci-Fi
the royal tenenbaums,Comedy Drama,Wes Anderson,Bill Murray,Anjelica Huston,Seymour Cassel,Wes Anderson Bill Murray Anjelica Huston Seymour Cassel Comedy Drama
identity,Mystery Thriller,James Mangold,Clea DuVall,Rebecca De Mornay,Jake Busey,James Mangold Clea DuVall Rebecca De Mornay Jake Busey Mystery Thriller
last vegas,Comedy Romance,Jon Turteltaub,Robert De Niro,Morgan Freeman,Romany Malco,Jon Turteltaub Robert De Niro Morgan Freeman Romany Malco Comedy Romance
for your eyes only,Action Adventure Thriller,John Glen,Julian Glover,Topol,Desmond Llewelyn,John Glen Julian Glover Topol Desmond Llewelyn Action Adventure Thriller
serendipity,Comedy Romance,Peter Chelsom,Lilli Lavine,David Sparrow,Ann Talman,Peter Chelsom Lilli Lavine David Sparrow Ann Talman Comedy Romance
timecop,Action Crime Sci-Fi Thriller,Peter Hyams,Mia Sara,Bruce McGill,Gloria Reuben,Peter Hyams Mia Sara Bruce McGill Gloria Reuben Action Crime Sci-Fi Thriller
zoolander,Comedy,Ben Stiller,Milla Jovovich,Alexander Skarsgård,Will Ferrell,Ben Stiller Milla Jovovich Alexander Skarsgård Will Ferrell Comedy
safe haven,Drama Romance Thriller,Lasse Hallström,David Lyons,Noah Lomax,Mimi Kirkland,Lasse Hallström David Lyons Noah Lomax Mimi Kirkland Drama Romance Thriller
hocus pocus,Comedy Family Fantasy,Kenny Ortega,Vinessa Shaw,Omri Katz,Larry Bagby,Kenny Ortega Vinessa Shaw Omri Katz Larry Bagby Comedy Family Fantasy
no reservations,Comedy Drama Romance,Scott Hicks,Zoë Kravitz,Lily Rabe,Bob Balaban,Scott Hicks Zoë Kravitz Lily Rabe Bob Balaban Comedy Drama Romance
kick-ass,Action Comedy,Matthew Vaughn,Elizabeth McGovern,Deborah Twiss,Michael Rispoli,Matthew Vaughn Elizabeth McGovern Deborah Twiss Michael Rispoli Action Comedy
30 minutes or less,Action Comedy Crime,Ruben Fleischer,Bianca Kajlich,Dilshad Vadsaria,Fred Ward,Ruben Fleischer Bianca Kajlich Dilshad Vadsaria Fred Ward Action Comedy Crime
dracula 2000,Action Fantasy Horror Thriller,Patrick Lussier,Gerard Butler,Danny Masterson,Jeri Ryan,Patrick Lussier Gerard Butler Danny Masterson Jeri Ryan Action Fantasy Horror Thriller
"alexander and the terrible, horrible, no good, very bad day",Comedy Family,Miguel Arteta,Bella Thorne,Steve Carell,Jennifer Garner,Miguel Arteta Bella Thorne Steve Carell Jennifer Garner Comedy Family
pride & prejudice,Drama Romance,Joe Wright,Talulah Riley,Brenda Blethyn,Simon Woods,Joe Wright Talulah Riley Brenda Blethyn Simon Woods Drama Romance
blade runner,Sci-Fi Thriller,Ridley Scott,Harrison Ford,Sean Young,M. Emmet Walsh,Ridley Scott Harrison Ford Sean Young M. Emmet Walsh Sci-Fi Thriller
rob roy,Adventure Biography,Michael Caton-Jones,Liam Neeson,Jason Flemyng,Eric Stoltz,Michael Caton-Jones Liam Neeson Jason Flemyng Eric Stoltz Adventure Biography
3 days to kill,Action Drama Thriller,McG,Connie Nielsen,Richard Sammel,Tómas Lemarquis,McG Connie Nielsen Richard Sammel Tómas Lemarquis Action Drama Thriller
we own the night,Crime Drama Thriller,James Gray,Robert Duvall,Oleg Taktarov,Antoni Corone,James Gray Robert Duvall Oleg Taktarov Antoni Corone Crime Drama Thriller
lost souls,Drama Horror Thriller,Janusz Kaminski,Philip Baker Hall,Bob Clendenin,Ben Chaplin,Janusz Kaminski Philip Baker Hall Bob Clendenin Ben Chaplin Drama Horror Thriller
winged migration,Documentary,Jacques Perrin,Jacques Perrin,Philippe Labro,Unknown,Jacques Perrin Jacques Perrin Philippe Labro Unknown Documentary
just my luck,Comedy Fantasy Romance,Donald Petrie,Samaire Armstrong,Carlos Ponce,Faizon Love,Donald Petrie Samaire Armstrong Carlos Ponce Faizon Love Comedy Fantasy Romance
"mystery, alaska",Comedy Drama Sport,Jay Roach,Scott Grimes,Mary McCormack,Ron Eldard,Jay Roach Scott Grimes Mary McCormack Ron Eldard Comedy Drama Sport
the spy next door,Action Comedy Family,Brian Levant,Madeline Carroll,Amber Valletta,George Lopez,Brian Levant Madeline Carroll Amber Valletta George Lopez Action Comedy Family
a simple wish,Comedy Family Fantasy,Michael Ritchie,Mara Wilson,Francis Capra,Kathleen Turner,Michael Ritchie Mara Wilson Francis Capra Kathleen Turner Comedy Family Fantasy
ghosts of mars,Action Horror Sci-Fi,John Carpenter,Jason Statham,Clea DuVall,Natasha Henstridge,John Carpenter Jason Statham Clea DuVall Natasha Henstridge Action Horror Sci-Fi
our brand is crisis,Comedy Drama,David Gordon Green,Dominic Flores,Zoe Kazan,Scoot McNairy,David Gordon Green Dominic Flores Zoe Kazan Scoot McNairy Comedy Drama
pride and prejudice and zombies,Action Horror Romance,Burr Steers,Matt Smith,Bella Heathcote,Sam Riley,Burr Steers Matt Smith Bella Heathcote Sam Riley Action Horror Romance
kundun,Biography Drama History War,Martin Scorsese,Tenzin Thuthob Tsarong,Tulku Jamyang Kunga Tenzin,Tencho Gyalpo,Martin Scorsese Tenzin Thuthob Tsarong Tulku Jamyang Kunga Tenzin Tencho Gyalpo Biography Drama History War
how to lose friends & alienate people,Comedy Drama Romance,Robert B. Weide,James Corden,Katherine Parkinson,Fenella Woolgar,Robert B. Weide James Corden Katherine Parkinson Fenella Woolgar Comedy Drama Romance
kick-ass 2,Action Comedy Crime,Jeff Wadlow,Chloë Grace Moretz,Donald Faison,Augustus Prew,Jeff Wadlow Chloë Grace Moretz Donald Faison Augustus Prew Action Comedy Crime
captain alatriste: the spanish musketeer,Adventure Drama History Romance Thriller War,Agustín Díaz Yanes,Viggo Mortensen,Elena Anaya,Eduardo Noriega,Agustín Díaz Yanes Viggo Mortensen Elena Anaya Eduardo Noriega Adventure Drama History Romance Thriller War
brick mansions,Action Crime Drama Thriller,Camille Delamarre,Paul Walker,Robert Maillet,RZA,Camille Delamarre Paul Walker Robert Maillet RZA Action Crime Drama Thriller
octopussy,Action Adventure Thriller,John Glen,Louis Jourdan,Kabir Bedi,Steven Berkoff,John Glen Louis Jourdan Kabir Bedi Steven Berkoff Action Adventure Thriller
knocked up,Comedy Romance,Judd Apatow,Harold Ramis,Martin Starr,Charlyne Yi,Judd Apatow Harold Ramis Martin Starr Charlyne Yi Comedy Romance
my sister's keeper,Drama,Nick Cassavetes,Jason Patric,Sofia Vassilieva,Jeffrey Markle,Nick Cassavetes Jason Patric Sofia Vassilieva Jeffrey Markle Drama
"welcome home, roscoe jenkins",Comedy Drama Romance,Malcolm D. Lee,Mo'Nique,Mike Epps,Cedric the Entertainer,Malcolm D. Lee Mo'Nique Mike Epps Cedric the Entertainer Comedy Drama Romance
a passage to india,Adventure Drama History,David Lean,Richard Wilson,Judy Davis,Art Malik,David Lean Richard Wilson Judy Davis Art Malik Adventure Drama History
notes on a scandal,Crime Drama Romance Thriller,Richard Eyre,Phil Davis,Andrew Simpson,Shaun Parkes,Richard Eyre Phil Davis Andrew Simpson Shaun Parkes Crime Drama Romance Thriller
rendition,Drama Thriller,Gavin Hood,J.K. Simmons,Jake Gyllenhaal,Meryl Streep,Gavin Hood J.K. Simmons Jake Gyllenhaal Meryl Streep Drama Thriller
limitless            ,Crime Drama Sci-Fi Thriller,Unknown,Colin Salmon,Mary Elizabeth Mastrantonio,Jake McDorman,Unknown Colin Salmon Mary Elizabeth Mastrantonio Jake McDorman Crime Drama Sci-Fi Thriller
star trek vi: the undiscovered country,Action Adventure Sci-Fi Thriller,Nicholas Meyer,Leonard Nimoy,Kurtwood Smith,Nichelle Nichols,Nicholas Meyer Leonard Nimoy Kurtwood Smith Nichelle Nichols Action Adventure Sci-Fi Thriller
divine secrets of the ya-ya sisterhood,Drama,Callie Khouri,Ellen Burstyn,Fionnula Flanagan,Matthew Settle,Callie Khouri Ellen Burstyn Fionnula Flanagan Matthew Settle Drama
the jungle book,Adventure Drama Family Fantasy,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Jon Favreau Scarlett Johansson Bill Murray Garry Shandling Adventure Drama Family Fantasy
kiss the girls,Crime Drama Mystery Thriller,Gary Fleder,Morgan Freeman,Tony Goldwyn,Tatyana Ali,Gary Fleder Morgan Freeman Tony Goldwyn Tatyana Ali Crime Drama Mystery Thriller
the blues brothers,Action Comedy Crime Music,John Landis,John Belushi,Aretha Franklin,Ray Charles,John Landis John Belushi Aretha Franklin Ray Charles Action Comedy Crime Music
the sisterhood of the traveling pants 2,Comedy Drama Family Romance,Sanaa Hamri,America Ferrera,Blythe Danner,Michael Rady,Sanaa Hamri America Ferrera Blythe Danner Michael Rady Comedy Drama Family Romance
joyful noise,Comedy Music,Todd Graff,Dolly Parton,Jeremy Jordan,Jesse L. Martin,Todd Graff Dolly Parton Jeremy Jordan Jesse L. Martin Comedy Music
about a boy,Comedy Drama Romance,Chris Weitz,Sharon Small,Christopher Webster,Peter McNicholl,Chris Weitz Sharon Small Christopher Webster Peter McNicholl Comedy Drama Romance
lake placid,Action Comedy Horror,Steve Miner,Oliver Platt,Bridget Fonda,Ty Olsson,Steve Miner Oliver Platt Bridget Fonda Ty Olsson Action Comedy Horror
lucky number slevin,Crime Drama Mystery Thriller,Paul McGuigan,Bruce Willis,Morgan Freeman,Dorian Missick,Paul McGuigan Bruce Willis Morgan Freeman Dorian Missick Crime Drama Mystery Thriller
the right stuff,Adventure Drama History,Philip Kaufman,Dennis Quaid,Scott Glenn,Sam Shepard,Philip Kaufman Dennis Quaid Scott Glenn Sam Shepard Adventure Drama History
anonymous,Drama History Thriller,Roland Emmerich,Vanessa Redgrave,Joely Richardson,Rafe Spall,Roland Emmerich Vanessa Redgrave Joely Richardson Rafe Spall Drama History Thriller
the neverending story,Adventure Drama Family Fantasy,Wolfgang Petersen,Gerald McRaney,Barret Oliver,Alan Oppenheimer,Wolfgang Petersen Gerald McRaney Barret Oliver Alan Oppenheimer Adventure Drama Family Fantasy
dark city,Action Drama Fantasy Mystery Sci-Fi Thriller,Alex Proyas,Rufus Sewell,William Hurt,Bruce Spence,Alex Proyas Rufus Sewell William Hurt Bruce Spence Action Drama Fantasy Mystery Sci-Fi Thriller
the duchess,Biography Drama History Romance,Saul Dibb,Dominic Cooper,Hayley Atwell,Charlotte Rampling,Saul Dibb Dominic Cooper Hayley Atwell Charlotte Rampling Biography Drama History Romance
the honeymooners            ,Comedy Family,Unknown,Jackie Gleason,Art Carney,Joyce Randolph,Unknown Jackie Gleason Art Carney Joyce Randolph Comedy Family
return to oz,Adventure Family Fantasy Horror Mystery,Walter Murch,Piper Laurie,Jean Marsh,Tim Rose,Walter Murch Piper Laurie Jean Marsh Tim Rose Adventure Family Fantasy Horror Mystery
the newton boys,Action Crime Drama History Western,Richard Linklater,Matthew McConaughey,Lew Temple,Dwight Yoakam,Richard Linklater Matthew McConaughey Lew Temple Dwight Yoakam Action Crime Drama History Western
case 39,Horror Mystery Thriller,Christian Alvart,Bradley Cooper,Callum Rennie,Vanesa Tomasino,Christian Alvart Bradley Cooper Callum Rennie Vanesa Tomasino Horror Mystery Thriller
suspect zero,Crime Drama Mystery Thriller,E. Elias Merhige,Harry Lennix,Kevin Chamberlin,William Mapother,E. Elias Merhige Harry Lennix Kevin Chamberlin William Mapother Crime Drama Mystery Thriller
martian child,Comedy Drama Family,Menno Meyjes,Oliver Platt,Richard Schiff,Sophie Okonedo,Menno Meyjes Oliver Platt Richard Schiff Sophie Okonedo Comedy Drama Family
spy kids: all the time in the world in 4d,Action Adventure Comedy Family Sci-Fi,Robert Rodriguez,Alexa PenaVega,Joel McHale,Daryl Sabara,Robert Rodriguez Alexa PenaVega Joel McHale Daryl Sabara Action Adventure Comedy Family Sci-Fi
money monster,Crime Drama Thriller,Jodie Foster,Julia Roberts,Jack O'Connell,Chris Bauer,Jodie Foster Julia Roberts Jack O'Connell Chris Bauer Crime Drama Thriller
formula 51,Action Comedy Crime Thriller,Ronny Yu,Meat Loaf,Junix Inocian,Paul Barber,Ronny Yu Meat Loaf Junix Inocian Paul Barber Action Comedy Crime Thriller
